Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
4833722,735132,6626624,2959373,38332521,5268367,3596080,925749,646449,19552860,9992167,1404054,1612136,12882135,6570902,3090416,2893957,4395295,4625470,1328302,5928814,6692824,9895622,5420380,2991207,6044171,1015165,1868516,2790136,1323459,8899339,2085287,19651127,9848060,723393,11570808,3850568,3930065,12773801,3615086,1051511,4774839,844877,6495978,26448193,2900872,626630,8260405,6971406,1854304,5742713,582658
52420.07,665384,113990.3,53178.55,163694.74,104094,5543.41,2488.72,68,65757.7,59425.15,10932,83568.95,57913.55,36419.55,56272.81,82278.36,40407.8,52378.13,35379.74,12405.93,10554.39,96713.51,86935.83,48431.78,69706.99,147039.71,77347.81,110571.82,9349.16,8722.58,121590.3,54554.98,53819.16,70698.32,44825.58,69898.87,98378.54,46054.35,5324.84,1544.89,32020.49,77115.68,42144.25,268596.46,84896.88,9616.36,42774.93,71297.95,24230.04,65496.38,97813.01
